pName,year,data
北京市,2020,45.21
北京市,2023,41.99
天津市,2020,145.47
天津市,2023,145.55
河北省,2020,2309.72
河北省,2023,2394.97
山西省,2020,606.32
山西省,2023,642.75
内蒙古自治区,2020,1603.36
内蒙古自治区,2023,1898.72
辽宁省,2020,1604.71
辽宁省,2023,1691.45
吉林省,2020,1547.38
吉林省,2023,1402.18
黑龙江省,2020,1912.96
黑龙江省,2023,1722.87
上海市,2020,55.06
上海市,2023,47.01
江苏省,2020,1315.84
江苏省,2023,1230.13
浙江省,2020,472.63
浙江省,2023,393.16
安徽省,2020,1900.19
安徽省,2023,1746.31
福建省,2020,1141.12
福建省,2023,1083.36
江西省,2020,1125.41
江西省,2023,978.34
山东省,2020,2571.87
山东省,2023,2973.68
河南省,2020,2855.83
河南省,2023,2595.99
湖北省,2020,1864.78
湖北省,2023,1934.32
湖南省,2020,2721.63
湖南省,2023,2232.06
广东省,2020,1778.18
广东省,2023,1696.79
广西壮族自治区,2020,1423.75
广西壮族自治区,2023,1505.31
海南省,2020,357.07
海南省,2023,334.24
重庆市,2020,871.85
重庆市,2023,766.62
四川省,2020,3613.81
四川省,2023,3035.62
贵州省,2020,1019.01
贵州省,2023,907.86
云南省,2020,2315.41
云南省,2023,1969.32
西藏自治区,2020,119.69
西藏自治区,2023,169.97
陕西省,2020,893.35
陕西省,2023,864.39
甘肃省,2020,495.29
甘肃省,2023,700.13
青海省,2020,295.12
青海省,2023,290.92
宁夏回族自治区,2020,246.59
宁夏回族自治区,2023,358.01
新疆维吾尔自治区,2020,1038.08
新疆维吾尔自治区,2023,1210.60
