year,quarter,value
2015,2015年第一季度,134991.8
2015,2015年第三季度,156060.3
2015,2015年第二季度,149632.2
2015,2015年第四季度,172630.8
2016,2016年第一季度,165118.1
2016,2016年第三季度,192174.4
2016,2016年第二季度,183371.5
2016,2016年第四季度,209433.4
2017,2017年第一季度,176649.8
2017,2017年第三季度,205362.6
2017,2017年第二季度,196116.2
2017,2017年第四季度,223659.8
2018,2018年第一季度,188926.3
2018,2018年第三季度,219079.5
2018,2018年第二季度,209673.7
2018,2018年第四季度,238292.3
2019,2019年第一季度,201017.6
2019,2019年第三季度,232153.3
2019,2019年第二季度,222389.6
2019,2019年第四季度,252346.2
2020,2020年第一季度,187417.1
2020,2020年第三季度,243567.3
2020,2020年第二季度,229396.0
2020,2020年第四季度,268766.9
2021,2021年第一季度,251564.0
2021,2021年第三季度,285059.2
2021,2021年第二季度,273519.5
2021,2021年第四季度,313417.0
2022,2022年第一季度,263762.9
2022,2022年第三季度,296333.6
2022,2022年第二季度,275704.6
2022,2022年第四季度,322969.4
2023,2023年第一季度,276286.8
2023,2023年第三季度,311288.6
2023,2023年第二季度,293711.1
2023,2023年第四季度,340242.9
