pName,year,data
北京市,2014,2171
北京市,2023,2186
天津市,2014,1429
天津市,2023,1364
河北省,2014,7323
河北省,2023,7393
山西省,2014,3528
山西省,2023,3466
内蒙古自治区,2014,2449
内蒙古自治区,2023,2396
辽宁省,2014,4358
辽宁省,2023,4182
吉林省,2014,2642
吉林省,2023,2339
黑龙江省,2014,3608
黑龙江省,2023,3062
上海市,2014,2467
上海市,2023,2487
江苏省,2014,8281
江苏省,2023,8526
浙江省,2014,5890
浙江省,2023,6627
安徽省,2014,5997
安徽省,2023,6121
福建省,2014,3945
福建省,2023,4183
江西省,2014,4480
江西省,2023,4515
山东省,2014,9808
山东省,2023,10123
河南省,2014,9645
河南省,2023,9815
湖北省,2014,5816
湖北省,2023,5838
湖南省,2014,6611
湖南省,2023,6568
广东省,2014,11489
广东省,2023,12706
广西壮族自治区,2014,4770
广西壮族自治区,2023,5027
海南省,2014,936
海南省,2023,1043
重庆市,2014,3043
重庆市,2023,3191
四川省,2014,8139
四川省,2023,8368
贵州省,2014,3677
贵州省,2023,3865
云南省,2014,4653
云南省,2023,4673
西藏自治区,2014,325
西藏自治区,2023,365
陕西省,2014,3827
陕西省,2023,3952
甘肃省,2014,2531
甘肃省,2023,2465
青海省,2014,576
青海省,2023,594
宁夏回族自治区,2014,678
宁夏回族自治区,2023,729
新疆维吾尔自治区,2014,2325
新疆维吾尔自治区,2023,2598
