year,quarter,data
2014,2014年第一季度,5562
2014,2014年第二季度,10025
2014,2014年第三季度,14986
2014,2014年第四季度,20167
2015,2015年第一季度,6087
2015,2015年第二季度,10931
2015,2015年第三季度,16367
2015,2015年第四季度,21966
2016,2016年第一季度,6619
2016,2016年第二季度,11886
2016,2016年第三季度,17735
2016,2016年第四季度,23821
2017,2017年第一季度,7184
2017,2017年第二季度,12932
2017,2017年第三季度,19342
2017,2017年第四季度,25974
2018,2018年第一季度,7815
2018,2018年第二季度,14063
2018,2018年第三季度,21035
2018,2018年第四季度,28228
2019,2019年第一季度,8493
2019,2019年第二季度,15294
2019,2019年第三季度,22882
2019,2019年第四季度,30733
2020,2020年第一季度,8561
2020,2020年第二季度,15666
2020,2020年第三季度,23781
2020,2020年第四季度,32189
2021,2021年第一季度,9730
2021,2021年第二季度,17642
2021,2021年第三季度,26265
2021,2021年第四季度,35128
2022,2022年第一季度,10345
2022,2022年第二季度,18463
2022,2022年第三季度,27650
2022,2022年第四季度,36883
2023,2023年第一季度,10870
2023,2023年第二季度,19672
2023,2023年第三季度,29398
2023,2023年第四季度,39218
